accommodates,bathrooms,bedrooms,beds,avg_rating,calculated_host_listings_count,host_response_rate,avg_price,minimum_nights,availability_rate,days_since_last_review,number_of_reviews,host_is_superhost,neighbourhood_cleansed,property_type,occupancy
4,2.0,2.0,2.0,4.924285714285715,1,1.0,1200.0,10,0.3150684931506849,28.0,80,t,Ward 77,Entire rental unit,180
10,3.5,4.0,8.0,4.958571428571429,1,1.0,350.0,3,0.6410958904109589,71.0,7,t,Ward 74,Entire home,42
4,1.0,2.0,3.0,5.0,8,0.67,2500.0,4,0.8849315068493151,765.0,1,f,Ward 107,Private room in bed and breakfast,0
2,1.0,1.0,1.0,4.58,1,1.0,2500.0,2,0.4657534246575342,17.0,87,f,Ward 115,Entire rental unit,54
4,1.0,2.0,2.0,4.692857142857143,51,1.0,1153.0,5,0.947945205479452,19.0,14,t,Ward 64,Entire rental unit,140
12,5.0,6.0,6.0,4.822857142857143,1,1.0,27000.0,3,0.9698630136986301,440.0,21,f,Ward 74,Entire home,0
2,1.5,1.0,1.0,4.952857142857143,4,1.0,850.0,2,0.9863013698630136,41.0,3,t,Ward 77,Private room in home,18
10,5.0,5.0,5.0,4.905714285714285,20,1.0,19999.0,3,0.8438356164383561,131.0,17,t,Ward 54,Entire home,6
4,2.0,2.0,3.0,4.911428571428572,32,1.0,1699.0,3,0.7013698630136986,8.0,29,t,Ward 54,Entire rental unit,138
4,2.0,2.0,3.0,4.8,35,0.98,3000.0,4,0.3150684931506849,89.0,30,f,Ward 115,Entire rental unit,64
4,2.0,2.0,3.0,4.942857142857143,1,1.0,2600.0,3,0.7972602739726027,34.0,97,t,Ward 54,Entire rental unit,138
2,1.0,1.0,1.0,4.935714285714285,2,1.0,675.0,2,0.7780821917808219,20.0,69,t,Ward 61,Entire rental unit,42
6,1.0,2.0,4.0,4.902857142857143,3,1.0,1145.0,2,0.852054794520548,7.0,164,t,Ward 100,Entire cottage,186
4,1.0,2.0,4.0,5.0,5,0.2,1200.0,1,1.0,2217.0,1,f,Ward 74,Entire guesthouse,0
2,1.0,1.0,1.0,4.957142857142856,2,1.0,1503.0,5,0.5452054794520548,6.0,115,t,Ward 23,Entire loft,180
2,1.0,0.0,1.0,4.74,3,1.0,1800.0,1,0.9260273972602739,46.0,68,f,Ward 115,Entire rental unit,132
2,3.0,3.0,3.0,4.548571428571429,1,0.5,500.0,1,0.4657534246575342,775.0,6,f,Ward 94,Private room in bed and breakfast,0
2,1.0,1.0,1.0,5.0,5,1.0,1200.0,2,0.9397260273972603,58.0,1,f,Ward 73,Private room in guesthouse,6
15,7.0,6.0,8.0,5.0,1,1.0,45000.0,4,0.9972602739726028,95.0,1,f,Ward 74,Entire villa,8
