accommodates,bathrooms,bedrooms,beds,avg_rating,number_of_reviews,calculated_host_listings_count,host_response_rate,host_is_superhost,neighbourhood_cleansed,property_type,price
4,2.0,2.0,2.0,4.924285714285715,80,1,1.0,t,Ward 77,Entire rental unit,7.683403681053826
10,3.5,4.0,8.0,4.958571428571429,7,1,1.0,t,Ward 74,Entire home,9.381010986029276
4,1.0,2.0,3.0,5.0,1,8,0.67,f,Ward 107,Private room in bed and breakfast,7.719129840906732
2,1.0,1.0,1.0,4.58,87,1,1.0,f,Ward 115,Entire rental unit,7.333023014386481
4,1.0,2.0,2.0,4.692857142857143,14,51,1.0,t,Ward 64,Entire rental unit,7.030857476116121
12,5.0,6.0,6.0,4.822857142857143,21,1,1.0,f,Ward 74,Entire home,9.798182590890704
2,1.5,1.0,1.0,4.952857142857143,3,4,1.0,t,Ward 77,Private room in home,6.695798917058491
10,5.0,5.0,5.0,4.905714285714285,17,20,1.0,t,Ward 54,Entire home,9.697876897764221
4,2.0,2.0,3.0,4.911428571428572,29,32,1.0,t,Ward 54,Entire rental unit,7.932721027481948
4,2.0,2.0,3.0,4.8,30,35,0.98,f,Ward 115,Entire rental unit,8.351374706721296
4,2.0,2.0,3.0,4.942857142857143,97,1,1.0,t,Ward 54,Entire rental unit,7.88758403166028
2,1.0,1.0,1.0,4.935714285714285,69,2,1.0,t,Ward 61,Entire rental unit,6.803505257608338
6,1.0,2.0,4.0,4.902857142857143,164,3,1.0,t,Ward 100,Entire cottage,7.1308988302963465
4,1.0,2.0,4.0,5.0,1,5,0.2,f,Ward 74,Entire guesthouse,7.0909098220799835
2,1.0,1.0,1.0,4.957142857142856,115,2,1.0,t,Ward 23,Entire loft,7.0630481633881725
2,1.0,0.0,1.0,4.74,68,3,1.0,f,Ward 115,Entire rental unit,7.334981878871814
2,3.0,3.0,3.0,4.548571428571429,6,1,0.5,f,Ward 94,Private room in bed and breakfast,6.349138991379798
2,1.0,1.0,1.0,5.0,1,5,1.0,f,Ward 73,Private room in guesthouse,7.349873704738337
15,7.0,6.0,8.0,5.0,1,1,1.0,f,Ward 74,Entire villa,10.236417809461043
2,1.0,1.0,1.0,4.968571428571429,58,2,1.0,t,Ward 84,Entire rental unit,6.911747300251674
6,2.0,3.0,4.0,4.908571428571428,35,1,1.0,f,Ward 61,Entire home,7.824445930877619
4,1.0,1.0,1.0,4.937142857142858,9,1,1.0,f,Ward 23,Entire rental unit,6.641182169740591
4,1.0,1.0,2.0,4.9071428571428575,82,1,1.0,f,Ward 5,Entire rental unit,6.679599185844383
2,1.0,1.0,1.0,4.914285714285714,5,4,1.0,f,Ward 115,Entire rental unit,7.369600720526409
4,2.0,2.0,2.0,4.0,1,1,1.0,f,Ward 59,Entire rental unit,7.613818684808629
2,1.0,1.0,1.0,4.538571428571428,8,145,0.99,f,Ward 115,Entire rental unit,7.095064377287131
2,1.0,1.0,1.0,4.428571428571429,1,145,0.99,f,Ward 115,Entire rental unit,7.05617528410041
5,1.0,2.0,4.0,4.897142857142858,112,1,1.0,t,Ward 64,Entire rental unit,6.848005274576363
4,2.0,2.0,2.0,5.0,4,1,1.0,f,Ward 83,Entire rental unit,7.390798521735676
3,1.0,2.0,2.0,4.182857142857143,7,2,1.0,f,Ward 54,Entire rental unit,7.167809184316444
2,1.0,1.0,1.0,4.685714285714286,34,25,1.0,f,Ward 115,Entire rental unit,6.895682697747868
2,1.5,1.0,2.0,4.907142857142857,116,4,1.0,t,Ward 54,Private room in home,7.301822342137932
2,1.0,1.0,0.0,4.835714285714286,32,30,1.0,t,Ward 115,Entire rental unit,7.336936913707618
4,2.0,2.0,3.0,4.864285714285714,53,3,1.0,f,Ward 83,Entire condo,7.119635638017636
4,1.0,2.0,3.0,4.928571428571429,2,6,1.0,t,Ward 107,Entire rental unit,7.262628600974241
6,3.0,3.0,4.0,4.935714285714286,43,1,1.0,t,Ward 69,Entire home,8.498010371999463
2,1.0,1.0,1.0,4.9142857142857155,5,1,1.0,f,Ward 23,Entire rental unit,6.523562306149512
4,1.0,2.0,3.0,4.871428571428571,33,1,1.0,f,Ward 54,Entire rental unit,7.244941546337007
4,1.5,2.0,3.0,4.547142857142857,40,7,0.75,f,Ward 15,Entire rental unit,7.409136443920128
6,2.0,3.0,3.0,4.914285714285714,17,18,1.0,t,Ward 115,Entire condo,8.966611387052865
2,1.0,1.0,1.0,4.885714285714285,10,1,1.0,f,Ward 102,Entire rental unit,6.641182169740591
13,2.0,4.0,11.0,4.662857142857143,14,9,1.0,f,Ward 61,Entire home,7.496097345175956
2,1.0,1.0,0.0,4.881428571428572,24,1,1.0,f,Ward 115,Entire rental unit,7.170888478512505
4,2.0,2.0,4.0,4.987142857142857,11,2,1.0,t,Ward 55,Entire rental unit,7.390798521735676
16,5.0,6.0,10.0,4.78,93,1,1.0,f,Ward 100,Farm stay,7.3783837129967145
6,2.5,3.0,4.0,4.755714285714285,52,6,1.0,f,Ward 107,Entire rental unit,7.972810784121404
4,1.0,2.0,3.0,4.8585714285714285,40,1,1.0,t,Ward 61,Entire condo,7.126890808898808
4,2.0,2.0,3.0,4.890000000000001,9,5,1.0,f,Ward 55,Entire rental unit,7.416979621381154
2,1.0,0.0,1.0,2.857142857142857,1,1,1.0,f,Ward 54,Entire rental unit,7.224753405767971
4,2.0,2.0,2.0,4.880000000000001,145,181,0.99,f,Ward 115,Entire rental unit,8.254528881939745
2,1.0,1.0,1.0,4.82,145,1,0.9,f,Ward 53,Entire rental unit,5.707110264748875
2,1.0,0.0,2.0,4.808571428571429,6,4,1.0,f,Ward 58,Entire rental unit,6.568077911411976
4,1.0,2.0,3.0,4.285714285714286,2,20,1.0,t,Ward 74,Entire cottage,7.3783837129967145
6,1.5,3.0,3.0,5.0,1,5,1.0,f,Ward 64,Entire home,7.155396301896734
2,1.0,1.0,1.0,4.887142857142857,21,2,1.0,t,Ward 4,Private room in home,6.682108597449809
